InitiativeID,Impacted BU,Wave,OverAll Impact
SO.3.107,هيئة الاتصالات,الحزمة الثانية,8.000%
SO.3.107,هيئة القوة البشرية,الحزمة الثانية,5.000%
SO.3.108,رئاسة هيئة التعليم والتدريب,الحزمة الصفرية,76.000%
SO.3.108,قاعدة اسناد التدريب والعقيدة العسكرية,الحزمة الصفرية,85.000%
SO.3.108,سلاح الاشارة,الحزمة الصفرية,15.000%
SO.3.108,هيئة العمليات,الحزمة الصفرية,15.000%
SO.3.108,الإدارة العامة لشؤون الضباط,الحزمة الصفرية,15.000%
SO.3.108,رئاسة هيئة شؤون الافراد,الحزمة الصفرية,15.000%
SO.3.108,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,الحزمة الصفرية,15.000%
SO.3.108,مكتب رئيس الجهاز العسكري,الحزمة الصفرية,25.000%
SO.3.109,مكتب نائب رئيس الجهاز العسكري,الحزمة الأولى,54.000%
SO.3.109,هيئة العمليات,الحزمة الأولى,44.000%
SO.3.109,هيئة الاستخبارات,الحزمة الأولى,44.000%
SO.3.109,هيئة الامداد والتموين,الحزمة الأولى,44.000%
SO.3.109,هيئة شؤون الافراد,الحزمة الأولى,44.000%
SO.3.109,هيئة التعليم والتدريب,الحزمة الأولى,44.000%
SO.3.109,الإدارة العامة لشؤون الضباط,الحزمة الأولى,44.000%
SO.3.109,مكتب رئيس الجهاز العسكري,الحزمة الأولى,36.000%
SO.3.112,هيئة العمليات,الحزمة الأولى,96.000%
SO.3.112,سلاح الاشارة,الحزمة الأولى,18.000%
SO.3.112,مكتب نائب رئيس الجهاز العسكري,الحزمة الأولى,66.000%
SO.3.112,الإدارة العامة لشؤون الضباط,الحزمة الأولى,8.000%
SO.3.112,هيئة شؤون الافراد,الحزمة الأولى,8.000%
so.3.115, الإدارة العامة للميزانية,الحزمة الصفرية,14.000%
so.3.115,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,الحزمة الصفرية,24.000%
so.3.115,إدارة الإنشاءات العسكرية وخدمات الميدان,الحزمة الصفرية,19.000%
so.3.115,الإدارة العامة للأراضي والممتلكات,الحزمة الصفرية,19.000%
SO.3.116,هيئة الامداد والتموين,الحزمة الثالثة,59.000%
SO.3.116,قاعدة الامداد والتموين في الرياض,الحزمة الثالثة,55.000%
SO.3.116,قاعدة الإمداد والتموين في القطاع الغربي,الحزمة الثالثة,55.000%
SO.3.116,قاعدة الإمداد والتموين بالقطاع الشرقي,الحزمة الثالثة,55.000%
SO.3.116,هيئة الاتصالات,الحزمة الثالثة,14.000%
SO.3.116,سلاح الاشارة,الحزمة الثالثة,14.000%
SO.3.116,جميع الوحدات العسكرية المستفيدة من خدمات التموين والامداد,الحزمة الثالثة,48.000%
SO.3.117,هيئة التعليم والتدريب,الحزمة الثالثة,36.000%
SO.3.117,كلية الملك خالد العسكرية,الحزمة الثالثة,24.000%
