Business units N-1,Business units N-2,Business units N-3,CODE,BU,ID,Level,Emp. No.
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,شعبةالمطابع,B-15-M,شعبةالمطابع,B-15-M,N-3,25
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,ادارة الحاسب الالي,B-15-N,ادارة الحاسب الالي,B-15-N,N-3,97
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,وحدة الشرطة العسكرية,B-15-O,وحدة الشرطة العسكرية,B-15-O,N-3,298
مكتب رئيس الجهاز العسكري,هيئة العمليات,رئاسة هيئة العمليات,B-1-A,رئاسة هيئة العمليات,B-1-A,N-3,49
مكتب رئيس الجهاز العسكري,هيئة العمليات,إدارة الخطط والعمليات - هيئة العمليات,B-1-B,إدارة الخطط والعمليات - هيئة العمليات,B-1-B,N-3,222
مكتب رئيس الجهاز العسكري,هيئة العمليات,ادارة التنظيم والتسليح - هيئة العمليات,B-1-C,ادارة التنظيم والتسليح - هيئة العمليات,B-1-C,N-3,61
مكتب رئيس الجهاز العسكري,هيئة العمليات,إدارة الشؤون الرياضية,B-1-D,إدارة الشؤون الرياضية,B-1-D,N-3,532
مكتب رئيس الجهاز العسكري,هيئة العمليات,إدارة الأمن والسلامة,B-1-E,إدارة الأمن والسلامة,B-1-E,N-3,105
مكتب رئيس الجهاز العسكري,هيئة التعليم والتدريب,رئاسة هيئة التعليم والتدريب,B-3-B,رئاسة هيئة التعليم والتدريب,B-3-B,N-3,63
مكتب رئيس الجهاز العسكري,هيئة التعليم والتدريب,ادارة التدريب - هيئة التدريب والتعليم,B-3-C,ادارة التدريب - هيئة التدريب والتعليم,B-3-C,N-3,160
مكتب رئيس الجهاز العسكري,هيئة التعليم والتدريب,ادارة التعليم - هيئة التدريب والتعليم,B-3-E,ادارة التعليم - هيئة التدريب والتعليم,B-3-E,N-3,48
مكتب رئيس الجهاز العسكري,هيئة التعليم والتدريب,إدارة العمليات,B-3-D,إدارة العمليات,B-3-D,N-3,60
مكتب رئيس الجهاز العسكري,كلية الملك عبدالله للقيادة والاركان,قيادة كلية القيادة والأركان,B-12-A,قيادة كلية القيادة والأركان,B-12-A,N-3,144
مكتب رئيس الجهاز العسكري,كلية الملك عبدالله للقيادة والاركان,المساعد للشؤون الإدارية,B-12-B,المساعد للشؤون الإدارية,B-12-B,N-3,123
مكتب رئيس الجهاز العسكري,كلية الملك عبدالله للقيادة والاركان,المساعد لشؤون العمليات,B-12-C,المساعد لشؤون العمليات,B-12-C,N-3,79
مكتب رئيس الجهاز العسكري,كلية الملك عبدالله للقيادة والاركان,عمادة الشؤون الأكاديمية,B-12-D,عمادة الشؤون الأكاديمية,B-12-D,N-3,139
مكتب رئيس الجهاز العسكري,هيئة شؤون الافراد,رئاسة هيئة شؤون الافراد,B-5-A,رئاسة هيئة شؤون الافراد,B-5-A,N-3,60
مكتب رئيس الجهاز العسكري,هيئة شؤون الافراد, ادارة المعلومات,B-5-B, ادارة المعلومات,B-5-B,N-3,130
N/A,N/A,N/A,B-5-C,N/A,B-5-C,N-1,80
مكتب رئيس الجهاز العسكري,هيئة شؤون الافراد,ادارة التجنيد,B-5-D,ادارة التجنيد,B-5-D,N-3,88
مكتب رئيس الجهاز العسكري,هيئة شؤون الافراد,ادارة الارتباط والتنسيق,B-5-E,ادارة الارتباط والتنسيق,B-5-E,N-3,67
مكتب رئيس الجهاز العسكري,هيئة شؤون الافراد,ادارة الرواتب والبدلات,B-5-F,ادارة الرواتب والبدلات,B-5-F,N-3,128
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,رئاسة هيئة الامداد والتموين,B-4-G,رئاسة هيئة الامداد والتموين,B-4-G,N-3,53
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,إدارة الخطط والعمليات,B-4-H,إدارة الخطط والعمليات,B-4-H,N-3,48
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,سلاح النقل,B-4-I,سلاح النقل,B-4-I,N-3,200
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,مركز ادارة الامداد والتموين الآلي,B-4-J,مركز ادارة الامداد والتموين الآلي,B-4-J,N-3,53
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,إدارة الصيانة,B-4-K,إدارة الصيانة,B-4-K,N-3,47
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,إدارة الإنشاءات العسكرية وخدمات الميدان,B-4-L,إدارة الإنشاءات العسكرية وخدمات الميدان,B-4-L,N-3,47
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,إدارة التغذية,B-4-M,إدارة التغذية,B-4-M,N-3,34
مكتب رئيس الجهاز العسكري,سلاح الاشارة,قيادة سلاح الإشارة,B-9-B,قيادة سلاح الإشارة,B-9-B,N-3,174
مكتب رئيس الجهاز العسكري,سلاح الاشارة,وحدة إشارة الرياض,B-9-C,وحدة إشارة الرياض,B-9-C,N-3,941
مكتب رئيس الجهاز العسكري,سلاح الاشارة,كتيبة الإشارة الميدانيـة,B-9-D,كتيبة الإشارة الميدانيـة,B-9-D,N-3,843
مكتب رئيس الجهاز العسكري,سلاح الاشارة,وحدة التموين والصيانة,B-9-E,وحدة التموين والصيانة,B-9-E,N-3,573
مكتب رئيس الجهاز العسكري,سلاح الاشارة,مدرسة سلاح الاشارة,B-9-F,مدرسة سلاح الاشارة,B-9-F,N-3,411
مكتب رئيس الجهاز العسكري,الإدارة العامة العسكرية للمشتريات,ادارة العقود والاتفاقيات,B-8-A,ادارة العقود والاتفاقيات,B-8-A,N-3,6
مكتب الوزير,وكالة الشؤون الفنية,ادارة المشاريع - وكالة الشؤون الفنية,A-5-A,ادارة المشاريع - وكالة الشؤون الفنية,A-5-A,N-3,47
مكتب الوزير,وكالة الشؤون الفنية,الادارة العامة للصيانة والتشغيل,A-5-B,الادارة العامة للصيانة والتشغيل,A-5-B,N-3,533
مكتب الوزير,وكالة الشؤون الفنية,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,A-5-C,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,A-5-C,N-3,56
مكتب الوزير,وكالة الشؤون الفنية,ادارة التطوير والجودة,A-5-D,ادارة التطوير والجودة,A-5-D,N-3,13
مكتب الوزير,الإدارة العامة لتقنية وأمن المعلومات ,الدعم التقني,A-8-B,الدعم التقني,A-8-B,N-3,104
مكتب الوزير,الإدارة العامة لتقنية وأمن المعلومات ,التدريب التقني,A-8-C,التدريب التقني,A-8-C,N-3,19
مكتب الوزير,الإدارة العامة لتقنية وأمن المعلومات ,ادارة التطبيقات,A-8-D,ادارة التطبيقات,A-8-D,N-3,61
مكتب الوزير,الإدارة العامة لتقنية وأمن المعلومات ,التخطيط والدراسات,A-8-E,التخطيط والدراسات,A-8-E,N-3,7
مكتب رئيس الجهاز العسكري,هيئة الطيران,رئاسة هيئة الطيران,B-6-A,رئاسة هيئة الطيران,B-6-A,N-3,55
مكتب الوزير,وكالة الشؤون الفنية,وكيل الحرس الوطني للشؤون الفنية,A-5-E,وكيل الحرس الوطني للشؤون الفنية,A-5-E,N-3,18
مكتب الوزير,وكالة الشؤون الفنية,وكيل الحرس الوطني للشؤون الفنية المساعد,A-5-F,وكيل الحرس الوطني للشؤون الفنية المساعد,A-5-F,N-3,58
مكتب رئيس الجهاز العسكري,الإدارة العامة العسكرية للمشتريات,ادارة الدراسات والمعلومات,B-8-B,ادارة الدراسات والمعلومات,B-8-B,N-3,8
مكتب الوزير,الإدارة العامة لتقنية وأمن المعلومات ,ادارة نظم الحاسب الالي,A-8-F,ادارة نظم الحاسب الالي,A-8-F,N-3,61
مكتب رئيس الجهاز العسكري,كلية الملك عبدالله للقيادة والاركان,المساعد للشؤون الإداري,B-12-E,المساعد للشؤون الإداري,B-12-E,N-3,123
مكتب الوزير,وكالة الشؤون الفنية,مكتب وكيل الشؤون الفنية,A-5-G,مكتب وكيل الشؤون الفنية,A-5-G,N-3,18
مكتب رئيس الجهاز العسكري,مكتب نائب رئيس الجهاز العسكري,N/A,B-16,مكتب نائب رئيس الجهاز العسكري,B-16,N-2,2
مكتب رئيس الجهاز العسكري,قيادة اسناد القتال,N/A,B-17,قيادة اسناد القتال,B-17,N-2,0
مكتب رئيس الجهاز العسكري,قيادة خدمات اسناد القتال,N/A,B-18,قيادة خدمات اسناد القتال,B-18,N-2,0
مكتب رئيس الجهاز العسكري,قيادة خدمات اسناد القتال,قيادة اسناد المعدات والتموين,B-18-A,قيادة اسناد المعدات والتموين,B-18-A,N-3,0
مكتب رئيس الجهاز العسكري,القيادة الوسطى,N/A,B-19,القيادة الوسطى,B-19,N-2,0
مكتب رئيس الجهاز العسكري,القيادة الشرقية,N/A,B-20,القيادة الشرقية,B-20,N-2,0
مكتب رئيس الجهاز العسكري,القيادة الغربية,N/A,B-21,القيادة الغربية,B-21,N-2,0
مكتب رئيس الجهاز العسكري,القيادة الوسطى,قاعدة الاسناد والتموين في الوسطى,B-19-A,قاعدة الاسناد والتموين في الوسطى,B-19-A,N-3,2007
مكتب رئيس الجهاز العسكري,القيادة الشرقية,قاعدة الاسناد والتموين في الشرقية,B-20-A,قاعدة الاسناد والتموين في الشرقية,B-20-A,N-3,736
مكتب رئيس الجهاز العسكري,القيادة الغربية,قاعدة الاسناد والتموين في الغربية,B-21-A,قاعدة الاسناد والتموين في الغربية,B-21-A,N-3,368
,,,,0,0,N-3,
,,,,0,0,N-3,
,,,,0,0,N-3,
,,,,0,0,N-3,
,,,,0,0,N-3,
,,,,0,0,N-3,
مكتب رئيس الجهاز العسكري,هيئة الطيران,ادارة العمليات - هيئة الطيران,B-6-B,ادارة العمليات - هيئة الطيران,B-6-B,N-3,0
مكتب رئيس الجهاز العسكري,هيئة الطيران,قاعدة طيرا ن الحرس الوطني,B-6-C,قاعدة طيرا ن الحرس الوطني,B-6-C,N-3,700
مكتب رئيس الجهاز العسكري,قيادة التدريب والعقيدة,N/A,B-22,قيادة التدريب والعقيدة,B-22,N-2,0
مكتب رئيس الجهاز العسكري,قيادة التدريب والعقيدة,ادارة العقيدة - قاعدة اسناد التدريب والعقيدة,B-22-A,ادارة العقيدة - قاعدة اسناد التدريب والعقيدة,B-22-A,N-3,0
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مركز تدريب الحرس الوطني في الرياض,B-15-P,مركز تدريب الحرس الوطني في الرياض,B-15-P,N-3,0
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مركز تدريب الحرس الوطني في الشرقية,B-15-Q,مركز تدريب الحرس الوطني في الشرقية,B-15-Q,N-3,0
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مركز تدريب الحرس الوطني في الاحساء,B-15-R,مركز تدريب الحرس الوطني في الاحساء,B-15-R,N-3,0
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مركز تدريب الحرس الوطني في الغربية,B-15-S,مركز تدريب الحرس الوطني في الغربية,B-15-S,N-3,0
مكتب رئيس الجهاز العسكري,قيادة الافواج,N/A,B-23,قيادة الافواج,B-23,N-2,255
مكتب رئيس الجهاز العسكري,قيادة الافواج,قوات الافواج,B-23-A,قوات الافواج,B-23-A,N-3,23748
مكتب رئيس الجهاز العسكري,قيادة الطب العسكري الميداني,مدرسة الطب الميداني,B-14-A,مدرسة الطب الميداني,B-14-A,N-3,0
مكتب رئيس الجهاز العسكري,قيادة الطب العسكري الميداني,ادارة الاستراتيجية والعقيدة - الطب العسكري الميداني,B-14-B,ادارة الاستراتيجية والعقيدة - الطب العسكري الميداني,B-14-B,N-3,42
مكتب رئيس الجهاز العسكري,قيادة الطب العسكري الميداني,ادارة التدريب - الطب العسكري الميداني,B-14-C,ادارة التدريب - الطب العسكري الميداني,B-14-C,N-3,203
مكتب رئيس الجهاز العسكري,قيادة الطب العسكري الميداني,ادارة العمليات - الطب العسكري الميداني,B-14-D,ادارة العمليات - الطب العسكري الميداني,B-14-D,N-3,8
مكتب رئيس الجهاز العسكري,قيادة الطب العسكري الميداني,ادارة الموارد البشرية - الطب العسكري الميداني,B-14-E,ادارة الموارد البشرية - الطب العسكري الميداني,B-14-E,N-3,18
مكتب رئيس الجهاز العسكري,قيادة الطب العسكري الميداني,ادارة التموين والخدمات اللوجستية - الطب العسكري الميداني,B-14-F,ادارة التموين والخدمات اللوجستية - الطب العسكري الميداني,B-14-F,N-3,8
مكتب رئيس الجهاز العسكري,سلاح الاشارة,الامن السيبراني - سلاح الاشارة,B-9-G,الامن السيبراني - سلاح الاشارة,B-9-G,N-3,12
مكتب رئيس الجهاز العسكري,ادارة تكامل القدرات,N/A,B-24,ادارة تكامل القدرات,B-24,N-2,0
مكتب رئيس الجهاز العسكري,هيئة العمليات,المخاطر في ادارة العمليات - هيئة العمليات,B-1-F,المخاطر في ادارة العمليات - هيئة العمليات,B-1-F,N-3,0
مكتب رئيس الجهاز العسكري,قيادة خدمات اسناد القتال,مكتب مساعد خدمات اسناد القتال,B-18-B,مكتب مساعد خدمات اسناد القتال,B-18-B,N-3,0
مكتب الوزير,التخطيط الاستراتيجي - برنامج تطوير وزارة الحرس الوطني,N/A,A-6,التخطيط الاستراتيجي - برنامج تطوير وزارة الحرس الوطني,A-6,N-2,0
مكتب وكيل الوزارة,الشؤون الاستراتيجية والسياسات,ادارة السياسات,D-6-1,ادارة السياسات,D-6-1,N-3,0
مكتب الوزير,مكتب ادارة المشاريع المؤسسي,N/A,A-8,مكتب ادارة المشاريع المؤسسي,A-8,N-2,0
مكتب وكيل الوزارة,الشؤون الهندسية والمرافق,N/A,D-2,الشؤون الهندسية والمرافق,D-2,N-2,0
مكتب رئيس الجهاز العسكري,ديوان المحاكمات العسكرية,N/A,B-25,ديوان المحاكمات العسكرية,B-25,N-2,55
مكتب الوزير,الاستئناف العسكري,N/A,A-9,الاستئناف العسكري,A-9,N-2,0
مكتب الوزير,التحليل الاستراتيجي,N/A,A-10,التحليل الاستراتيجي,A-10,N-2,0
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,إدارة الشؤون الاجتماعية والثقافية والرياضية,D-1-F,إدارة الشؤون الاجتماعية والثقافية والرياضية,D-1-F,N-3,125
مكتب وكيل الوزارة,الخدمات الرقمية والتقنية,N/A,D-7,الخدمات الرقمية والتقنية,D-7,N-2,526
مكتب وكيل الوزارة,الخدمات الرقمية والتقنية,التطوير والعمليات - الخدمات الرقمية والتقنية,D-7-A,التطوير والعمليات - الخدمات الرقمية والتقنية,D-7-A,N-3,526
مكتب وكيل الوزارة,الخدمات الرقمية والتقنية,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,D-7-B,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,D-7-B,N-3,0
